"TurnId","ItemNo","X","Y","FederationNo","MP","Condition","Goods1","Quantity1","Goods2","Quantity2","Money"
"307EOct1809","7020","56","75","0","75","100","0","0","0","0","0"
"307ESep1808","7006","28","20","0","73","98","0","0","13","2","1314943"
"307ESep1808","7017","13","41","0","75","100","0","0","0","0","986909"
"307ESep1808","7020","56","75","0","75","100","0","0","0","0","0"
"307ESep1809","7006","28","20","0","73","98","0","0","0","0","0"
"307ESep1809","7017","13","41","0","75","100","0","0","0","0","986909"
"307ESep1809","7020","56","75","0","75","100","0","0","0","0","0"
"348BAug1809","7002","33","19","0","75","100","29","45","13","4800","0"
"348BAug1809","7037","38","43","0","70","93","0","0","0","0","913503"
"348BSep1809","7002","33","19","0","75","100","29","45","13","4800","0"
"348BSep1809","7037","38","43","0","70","93","0","0","0","0","913503"
"348EAug1809","7002","33","19","0","75","100","29","45","13","4800","0"
"348EAug1809","7037","38","43","0","70","93","0","0","0","0","913503"
"348ESep1809","7002","33","19","0","75","100","29","45","13","4800","0"
"348ESep1809","7037","38","43","0","70","93","0","0","0","0","913503"
