"ItemNo","TurnId","Name","X_OrState","Y_OrFleet","MP","Federation","Batt1Type","Batt1EF","Batt1Size","Batt2Type","Batt2EF","Batt2Size","Batt3Type","Batt3EF","Batt3Size","Batt4Type","Batt4EF","Batt4Size","Batt5Type","Batt5EF","Batt5Size","Batt6Type","Batt6EF","Batt6Size","Batt7Type","Batt7EF","Batt7Size"
"4270","306EAug1808","MILITIA 1       ","18","41","28","64","Mi","4","797","Mi","4","797","Mi","4","797","Ln","4","797","Ln","4","797","--","","","--","",""
"4282","306EAug1808","MILITIA 2       ","18","41","28","64","Mi","4","797","Mi","4","797","Mi","4","797","Ln","4","797","Ln","4","797","--","","","--","",""
"4293","306EAug1808","MILITIA 3       ","E ","11","28","0","Mi","4","797","Mi","4","797","Mi","4","797","--","","","--","","","--","","","--","",""
"4304","306EAug1808","MILITIA 4       ","48","60","28","63","Mi","3","789","Mi","3","789","Mi","3","789","--","","","--","","","--","","","--","",""
"4312","306EAug1808","RIFLES 1        ","13","41","28","0","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","--","","","--","",""
"4322","306EAug1808","RIFLES 2        ","13","41","28","0","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","--","","","--","",""
"4332","306EAug1808","RIFLES 3        ","13","41","28","0","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","--","","","--","",""
"4341","306EAug1808","LINE 1          ","13","41","28","0","Ln","3","800","Ln","3","800","Ln","3","800","Ln","3","800","Ln","3","800","--","","","--","",""
"4350","306EAug1808","MILITIA 1       ","E ","11","28","0","Mi","4","797","Mi","4","797","Mi","4","797","Mi","4","797","Mi","4","797","--","","","--","",""
"4357","306EAug1808","MILITIA 2       ","18","41","28","64","Mi","4","797","Mi","4","797","Mi","4","797","Mi","4","797","Mi","4","797","--","","","--","",""
"4364","306EAug1808","MILITIA 3       ","18","41","28","64","Mi","4","797","Mi","4","797","Mi","4","797","Mi","4","797","Mi","4","797","--","","","--","",""
"4371","306EAug1808","MILITIA 6       ","E ","11","28","0","Mi","4","797","Mi","4","797","Mi","4","797","--","","","--","","","--","","","--","",""
"4383","306EAug1808","MILITIA 7       ","E ","11","28","0","Mi","4","797","Mi","4","797","Mi","4","797","--","","","Rm","4","797","--","","","--","",""
"4395","306EAug1808","RIFLES 4        ","13","41","28","0","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800"
"4404","306EAug1808","RIFLES 5        ","13","41","28","0","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","--","",""
"4478","306EAug1808","MILITIA         ","18","41","28","64","Mi","4","797","Mi","4","797","Mi","4","797","Rm","4","797","Rm","4","797","--","","","--","",""
"4490","306EAug1808","MILITIA         ","18","41","28","64","Mi","4","797","Mi","4","797","Mi","4","797","Rm","4","797","Rm","4","797","--","","","--","",""
"4502","306EAug1808","MILITIA         ","13","41","28","65","Mi","3","800","Mi","3","800","Mi","3","800","Rm","3","800","Rm","3","800","--","","","--","",""
"4513","306EAug1808","MILITIA         ","13","41","28","65","Mi","3","800","Mi","3","800","Mi","3","800","Rm","3","800","Rm","3","800","--","","","--","",""
"4522","306EAug1808","RIFLES          ","13","41","28","0","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","--","","","--","",""
"4528","306EAug1808","RIFLES          ","13","41","28","0","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","--","","","--","",""
"4539","306EAug1808","MILITIA         ","E ","11","28","0","Mi","4","797","Mi","4","797","Mi","4","797","Mi","4","797","Mi","4","797","--","","","--","",""
"4552","306EAug1808","MILITIA         ","E ","11","28","0","Mi","4","797","Mi","4","797","Mi","4","797","Mi","4","797","Mi","4","797","--","","","--","",""
"4581","306EAug1808","MILITIA         ","E ","11","28","0","Mi","4","797","Mi","4","797","Mi","4","797","Rm","4","797","Rm","4","797","--","","","--","",""
"4588","306EAug1808","MILITIA         ","13","41","28","0","Mi","4","800","Mi","4","800","Mi","4","800","Rm","4","800","Rm","4","800","--","","","--","",""
"4591","306EAug1808","RIFLES          ","13","41","28","0","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","--","","","--","",""
"4594","306EAug1808","RIFLES          ","13","41","28","0","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","Rm","3","800","--","","","--","",""
"4081","306EDec1808","BRIGADE 1       ","18","41","28","61","Cu","8","797","Cu","8","797","Dr","7","797","Dr","7","797","Dr","7","797","Dr","7","797","Ma","7","797"
"4082","306EDec1808","BRIGADE 2       ","18","41","28","61","Cu","8","797","Cu","8","797","Dr","7","797","Dr","7","797","Hu","7","797","Hu","7","797","Ma","7","797"
"4083","306EDec1808","BRIGADE 3       ","18","41","28","61","GR","8","797","Ln","6","797","Ln","6","797","Ln","6","797","Li","6","797","Pi","6","797","Pi","6","797"
"4084","306EDec1808","BRIGADE 4       ","18","41","28","61","GR","8","797","Ln","6","797","Ln","6","797","Ln","6","797","Li","6","797","Pi","6","797","Pi","6","797"
"4085","306EDec1808","BRIGADE 5       "," 7","34","28","62","Cu","8","800","Cu","8","800","Uh","7","800","Uh","7","800","Dr","7","800","Hu","7","800","Ma","7","800"
"4086","306EDec1808","BRIGADE 6       "," 7","34","28","62","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Li","6","800","La","6","800","La","6","800"
"4087","306EDec1808","BRIGADE 7       "," 7","34","28","62","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Li","6","800","La","6","800","La","6","800"
"4088","306EDec1808","BRIGADE 8       "," 7","34","28","62","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Ln","6","800","Pi","6","800","Pi","6","800"
"4120","306EDec1808","LIGHT           ","18","41","28","61","Li","4","797","Li","4","797","Li","4","797","Li","4","797","Li","4","797","--","","","--","",""
"4128","306EDec1808","MARINE-BRIG 4   ","80","78","32","0","Kt","6","779","Kt","6","779","Kt","6","779","Ca","4","779","Ca","4","779","Cc","4","779","Cc","4","779"
"4129","306EDec1808","COLONIAL-BRIG 5 ","81","71","32","72","Ca","4","774","Ca","4","774","Ca","4","774","Ca","4","774","Ca","4","774","Ca","4","774","Ca","4","774"
"4130","306EDec1808","COLONIAL-BRIG 6 ","E ","31","32","0","Cc","4","800","Cc","4","800","Ca","4","800","Cc","4","800","Cc","4","800","Cc","4","800","Cc","4","800"
"4131","306EDec1808","MARINE-BRIG 1   ","29","98","32","0","Kt","6","784","Kt","6","784","Kt","6","784","Cc","4","784","Cc","4","784","Ca","4","784","Ca","4","784"
"4132","306EDec1808","COLONIAL-BRIG 1 ","26","92","32","0","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800"
"4133","306EDec1808","COLONIAL-BRIG 2 ","24","96","32","0","Mc","4","767","Mc","4","767","Mc","4","767","Mc","4","767","Mc","4","767","Kt","4","789","Kt","4","789"
"4134","306EDec1808","MARINE-BRIG 2   ","E ","21","32","0","Kt","6","784","Kt","6","784","Kt","6","784","Ca","4","784","Ca","4","784","Ca","4","784","Mc","4","784"
"4135","306EDec1808","COLONIAL-BRIG 3 "," 3","79","40","71","Mc","4","766","Mc","4","766","Mc","4","766","Mc","4","766","Mc","4","766","Mc","4","766","Mc","4","766"
"4136","306EDec1808","COLONIAL-BRIG 4 "," 5","84","32","0","Ca","4","790","Ca","4","790","Ca","4","790","Ca","4","790","Ca","4","790","--","","","--","",""
"4161","306EDec1808","MARINE-BRIG 3   ","15","88","32","0","Kt","6","782","Kt","6","782","Ca","4","782","Ca","4","782","Ca","4","782","Mc","4","782","Mc","4","782"
"4215","306EDec1808","COLONIALS 1     ","27","97","28","0","Kt","4","786","Kt","4","786","--","","","--","","","Mi","3","786","--","","","--","",""
"4229","306EDec1808","CORE 1          ","18","41","28","61","GR","5","797","GR","5","797","GR","5","797","Ln","5","797","Ln","5","797","Ln","5","797","Ln","5","797"
"4242","306EDec1808","CORE 2          ","18","41","28","61","GR","5","797","GR","5","797","GR","5","797","Ln","5","797","Ln","5","797","Ln","5","797","Ln","5","797"
"4256","306EDec1808","CORE 3          ","18","41","28","61","GR","5","797","GR","5","797","GR","5","797","Ln","5","797","Ln","5","797","--","","","--","",""
"4268","306EDec1808","LIGHT           ","18","41","28","66","Li","3","800","Li","3","800","Li","3","800","Li","3","800","Li","3","800","--","","","--","",""
"4270","306EDec1808","MILITIA 1       ","E ","11","28","0","Mi","5","797","Mi","5","797","Mi","5","797","Ln","5","797","Ln","5","797","--","","","--","",""
"4282","306EDec1808","MILITIA 2       ","E ","11","28","0","Mi","5","797","Mi","5","797","Mi","5","797","Ln","5","797","Ln","5","797","--","","","--","",""
"4293","306EDec1808","MILITIA 3       ","29","43","28","67","Mi","4","748","Mi","4","748","Mi","4","748","--","","","--","","","--","","","--","",""
"4304","306EDec1808","MILITIA 4       ","48","62","28","63","Mi","3","770","Mi","3","770","Mi","3","770","--","","","--","","","--","","","--","",""
"4312","306EDec1808","RIFLES 1        ","18","41","28","66","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","--","","","--","",""
"4322","306EDec1808","RIFLES 2        ","18","41","28","66","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","--","","","--","",""
"4332","306EDec1808","RIFLES 3        ","18","41","28","66","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","--","","","--","",""
"4341","306EDec1808","LINE 1          ","18","41","28","66","Ln","5","797","Ln","5","797","Ln","5","797","Ln","5","797","Ln","5","797","--","","","--","",""
"4350","306EDec1808","MILITIA 1       ","29","43","28","67","Mi","4","748","Mi","4","748","Mi","4","748","Mi","4","748","Mi","4","748","--","","","--","",""
"4357","306EDec1808","MILITIA 2       ","E ","11","28","0","Mi","5","797","Mi","5","797","Mi","5","797","Mi","5","797","Mi","5","797","--","","","--","",""
"4364","306EDec1808","MILITIA 3       ","E ","11","28","0","Mi","5","797","Mi","5","797","Mi","5","797","Mi","5","797","Mi","5","797","--","","","--","",""
"4371","306EDec1808","MILITIA 6       ","29","43","28","67","Mi","4","748","Mi","4","748","Mi","4","748","--","","","--","","","--","","","--","",""
"4383","306EDec1808","MILITIA 7       ","29","43","28","67","Mi","4","748","Mi","4","748","Mi","4","748","--","","","Rm","4","748","--","","","--","",""
"4395","306EDec1808","RIFLES 4        ","18","41","28","66","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797"
"4403","306EDec1808","LIGHT           ","18","41","28","66","Li","3","800","Li","3","800","Li","3","800","Li","3","800","Li","3","800","--","","","--","",""
"4404","306EDec1808","RIFLES 5        ","18","41","28","66","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","--","",""
"4478","306EDec1808","MILITIA         ","E ","11","28","0","Mi","5","797","Mi","5","797","Mi","5","797","Rm","5","797","Rm","5","797","--","","","--","",""
"4490","306EDec1808","MILITIA         ","E ","11","28","0","Mi","5","797","Mi","5","797","Mi","5","797","Rm","5","797","Rm","5","797","--","","","--","",""
"4502","306EDec1808","MILITIA         ","18","41","28","65","Mi","5","797","Mi","5","797","Mi","5","797","Rm","5","797","Rm","5","797","--","","","--","",""
"4513","306EDec1808","MILITIA         ","E ","14","28","0","Mi","5","797","Mi","5","797","Mi","5","797","Rm","5","797","Rm","5","797","--","","","--","",""
"4522","306EDec1808","RIFLES          ","18","41","28","66","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","--","","","--","",""
"4528","306EDec1808","RIFLES          ","18","41","28","66","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","--","","","--","",""
"4539","306EDec1808","MILITIA         ","29","43","28","67","Mi","4","748","Mi","4","748","Mi","4","748","Mi","4","748","Mi","4","748","--","","","--","",""
"4552","306EDec1808","MILITIA         ","29","43","28","67","Mi","4","748","Mi","4","748","Mi","4","748","Mi","4","748","Mi","4","748","--","","","--","",""
"4581","306EDec1808","MILITIA         ","29","43","28","67","Mi","4","748","Mi","4","748","Mi","4","748","Rm","4","748","Rm","4","748","--","","","--","",""
"4588","306EDec1808","MILITIA         ","18","41","28","66","Mi","5","797","Mi","5","797","Mi","5","797","Rm","6","797","Rm","6","797","--","","","--","",""
"4591","306EDec1808","RIFLES          ","18","41","28","66","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","--","","","--","",""
"4594","306EDec1808","RIFLES          ","18","41","28","66","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","Rm","5","797","--","","","--","",""
"4670","306EDec1808","LIGHT           ","18","41","28","61","Li","4","797","Li","4","797","Li","4","797","Li","4","797","Li","4","797","--","","","--","",""
"4681","306EDec1808","LIGHT           ","18","41","28","61","Li","4","797","Li","4","797","Li","4","797","Li","4","797","Li","4","797","--","","","--","",""
"4691","306EDec1808","LIGHT           ","18","41","28","61","Li","4","797","Li","4","797","Li","4","797","Li","4","797","Li","4","797","--","","","--","",""
"4698","306EDec1808","LIGHT           ","18","41","28","61","Li","4","797","Li","4","797","Li","4","797","Li","4","797","Li","4","797","--","","","--","",""
"4740","306EDec1808","LIGHT           ","18","41","28","0","Li","3","800","Li","3","800","Li","3","800","Li","3","800","Li","3","800","--","","","--","",""
"4751","306EDec1808","LIGHT           ","18","41","28","0","Li","3","800","Li","3","800","Li","3","800","Li","3","800","Li","3","800","--","","","--","",""
"4761","306EDec1808","LIGHT           ","18","41","28","0","Li","3","800","Li","3","800","Li","3","800","Li","3","800","Li","3","800","--","","","--","",""
"4081","306EFeb1808","BRIGADE 1       ","13","41","28","61","Cu","8","800","Cu","8","800","Dr","7","800","Dr","7","800","Dr","7","800","Dr","7","800","Ma","7","800"
"4082","306EFeb1808","BRIGADE 2       ","13","41","28","61","Cu","8","800","Cu","8","800","Dr","7","800","Dr","7","800","Hu","7","800","Hu","7","800","Ma","7","800"
"4083","306EFeb1808","BRIGADE 3       ","13","41","28","61","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Li","6","800","Pi","6","800","Pi","6","800"
"4084","306EFeb1808","BRIGADE 4       ","13","41","28","61","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Li","6","800","Pi","6","800","Pi","6","800"
"4085","306EFeb1808","BRIGADE 5       "," 7","34","28","0","Cu","8","800","Cu","8","800","Uh","7","800","Uh","7","800","Dr","7","800","Hu","7","800","Ma","7","800"
"4086","306EFeb1808","BRIGADE 6       "," 7","34","28","0","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Li","6","800","La","6","800","La","6","800"
"4087","306EFeb1808","BRIGADE 7       "," 7","34","28","0","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Li","6","800","La","6","800","La","6","800"
"4088","306EFeb1808","BRIGADE 8       "," 7","34","28","0","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Ln","6","800","Pi","6","800","Pi","6","800"
"4128","306EFeb1808","MARINE-BRIG 4   ","E ","31","32","0","Kt","6","800","Kt","6","800","Kt","6","800","Ca","4","800","Ca","4","800","Cc","4","800","Cc","4","800"
"4129","306EFeb1808","COLONIAL-BRIG 5 ","90","84","32","0","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Cc","4","800","Cc","4","800"
"4130","306EFeb1808","COLONIAL-BRIG 6 ","90","84","32","0","Ca","4","800","Ca","4","800","Ca","4","800","Cc","4","800","Cc","4","800","Cc","4","800","Cc","4","800"
"4131","306EFeb1808","MARINE-BRIG 1   ","27","95","32","0","Kt","6","798","Kt","6","798","Kt","6","798","Cc","4","798","Cc","4","798","Ca","4","798","Ca","4","798"
"4132","306EFeb1808","COLONIAL-BRIG 1 ","26","92","32","0","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800"
"4133","306EFeb1808","COLONIAL-BRIG 2 ","23","94","40","0","Mc","4","798","Mc","4","798","Mc","4","798","Mc","4","798","Mc","4","798","--","","","--","",""
"4134","306EFeb1808","MARINE-BRIG 2   ","11","87","32","0","Kt","6","798","Kt","6","798","Kt","6","798","Ca","4","798","Ca","4","798","Ca","4","798","Mc","4","798"
"4135","306EFeb1808","COLONIAL-BRIG 3 "," 6","81","40","71","Mc","4","797","Mc","4","797","Mc","4","797","Mc","4","797","Mc","4","797","Mc","4","797","Mc","4","797"
"4136","306EFeb1808","COLONIAL-BRIG 4 "," 9","84","32","0","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","--","","","--","",""
"4161","306EFeb1808","MARINE-BRIG 3   ","E ","21","32","0","Kt","6","800","Kt","6","800","Ca","4","800","Ca","4","800","Ca","4","800","Mc","4","800","Mc","4","800"
"4215","306EFeb1808","COLONIALS 1     "," 7","34","28","0","Kt","3","800","Kt","3","800","Kt","3","800","Kt","3","800","Mi","3","800","--","","","--","",""
"4229","306EFeb1808","CORE 1          ","13","41","28","0","GR","3","800","GR","3","800","GR","3","800","Ln","3","800","Ln","3","800","--","","","--","",""
"4242","306EFeb1808","CORE 2          ","13","41","28","0","GR","3","800","GR","3","800","GR","3","800","Ln","3","800","Ln","3","800","--","","","--","",""
"4256","306EFeb1808","CORE 3          ","13","41","28","0","GR","3","800","GR","3","800","GR","3","800","Ln","3","800","Ln","3","800","--","","","--","",""
"4270","306EFeb1808","MILITIA 1       ","13","41","28","0","Mi","3","800","Mi","3","800","Mi","3","800","Ln","3","800","Ln","3","800","--","","","--","",""
"4282","306EFeb1808","MILITIA 2       ","13","41","28","0","Mi","3","800","Mi","3","800","Mi","3","800","Ln","3","800","Ln","3","800","--","","","--","",""
"4293","306EFeb1808","MILITIA 3       ","13","41","28","0","Mi","3","800","Mi","3","800","Mi","3","800","Ln","3","800","Ln","3","800","--","","","--","",""
"4304","306EFeb1808","MILITIA 4       ","13","41","28","0","Mi","3","800","Mi","3","800","Mi","3","800","Ln","3","800","Ln","3","800","--","","","--","",""
"4081","306EFeb1809","BRIGADE 1       ","18","41","28","61","Cu","8","797","Cu","8","797","Dr","7","797","Dr","7","797","Dr","7","797","Dr","7","797","Ma","7","797"
"4082","306EFeb1809","BRIGADE 2       ","18","41","28","61","Cu","8","797","Cu","8","797","Dr","7","797","Dr","7","797","Hu","7","797","Hu","7","797","Ma","7","797"
"4083","306EFeb1809","BRIGADE 3       ","18","41","28","61","GR","8","797","Ln","6","797","Ln","6","797","Ln","6","797","Li","6","797","Pi","6","797","Pi","6","797"
"4084","306EFeb1809","BRIGADE 4       ","18","41","28","61","GR","8","797","Ln","6","797","Ln","6","797","Ln","6","797","Li","6","797","Pi","6","797","Pi","6","797"
"4085","306EFeb1809","BRIGADE 5       ","11","34","28","62","Cu","8","797","Cu","8","797","Uh","7","797","Uh","7","797","Dr","7","797","Hu","7","797","Ma","7","797"
"4086","306EFeb1809","BRIGADE 6       ","11","34","28","62","GR","8","797","Ln","6","797","Ln","6","797","Ln","6","797","Li","6","797","La","6","797","La","6","797"
"4087","306EFeb1809","BRIGADE 7       ","11","34","28","62","GR","8","797","Ln","6","797","Ln","6","797","Ln","6","797","Li","6","797","La","6","797","La","6","797"
"4088","306EFeb1809","BRIGADE 8       ","11","34","28","62","GR","8","797","Ln","6","797","Ln","6","797","Ln","6","797","Ln","6","797","Pi","6","797","Pi","6","797"
"4120","306EFeb1809","LIGHT           ","18","41","28","61","Li","5","797","Li","5","797","Li","5","797","Li","5","797","Li","5","797","--","","","--","",""
"4128","306EFeb1809","MARINE-BRIG 4   ","81","76","32","0","Kt","6","775","Kt","6","775","Kt","6","775","Ca","4","775","Ca","4","775","Cc","4","775","Cc","4","775"
"4129","306EFeb1809","COLONIAL-BRIG 5 ","83","71","32","72","Ca","4","766","Ca","4","766","Ca","4","766","Ca","4","766","Ca","4","766","Ca","4","766","Ca","4","766"
"4130","306EFeb1809","COLONIAL-BRIG 6 ","83","75","32","0","Cc","4","798","Cc","4","798","Ca","4","798","Cc","4","798","Cc","4","798","Cc","4","798","Cc","4","798"
"4131","306EFeb1809","MARINE-BRIG 1   ","30","99","32","0","Kt","6","782","Kt","6","782","Kt","6","782","Cc","4","782","Cc","4","782","Ca","4","782","Ca","4","782"
"4132","306EFeb1809","COLONIAL-BRIG 1 ","26","92","32","0","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800"
"4133","306EFeb1809","COLONIAL-BRIG 2 ","23","96","32","0","Mc","4","765","Mc","4","765","Mc","4","765","Mc","4","765","Mc","4","765","Kt","4","787","Kt","4","787"
"4134","306EFeb1809","MARINE-BRIG 2   ","E ","21","32","0","Kt","6","784","Kt","6","784","Kt","6","784","Ca","4","784","Ca","4","784","Ca","4","784","Mc","4","784"
"4135","306EFeb1809","COLONIAL-BRIG 3 "," 5","83","40","71","Mc","4","760","Mc","4","760","Mc","4","760","Mc","4","760","Mc","4","760","Mc","4","760","Mc","4","760"
"4136","306EFeb1809","COLONIAL-BRIG 4 "," 6","84","32","0","Ca","4","787","Ca","4","787","Ca","4","787","Ca","4","787","Ca","4","787","--","","","--","",""
"4161","306EFeb1809","MARINE-BRIG 3   ","13","87","32","0","Kt","6","780","Kt","6","780","Ca","4","780","Ca","4","780","Ca","4","780","Mc","4","780","Mc","4","780"
"4215","306EFeb1809","COLONIALS 1     ","28","98","28","0","Kt","4","782","Kt","4","782","--","","","--","","","Mi","3","782","--","","","--","",""
"4229","306EFeb1809","CORE 1          ","18","41","28","61","GR","6","797","GR","6","797","GR","6","797","Ln","6","797","Ln","6","797","Ln","6","797","Ln","6","797"
"4242","306EFeb1809","CORE 2          ","18","41","28","61","GR","6","797","GR","6","797","GR","6","797","Ln","6","797","Ln","6","797","Ln","6","797","Ln","6","797"
"4256","306EFeb1809","CORE 3          ","18","41","28","61","GR","6","797","GR","6","797","GR","6","797","Ln","6","797","Ln","6","797","--","","","--","",""
"4268","306EFeb1809","LIGHT           ","18","41","28","66","Li","4","800","Li","4","800","Li","4","800","Li","4","800","Li","4","800","--","","","--","",""
"4270","306EFeb1809","MILITIA 1       ","37","49","28","64","Mi","5","794","Mi","5","794","Mi","5","794","Ln","5","794","Ln","5","794","--","","","--","",""
"4282","306EFeb1809","MILITIA 2       ","37","49","28","64","Mi","5","794","Mi","5","794","Mi","5","794","Ln","5","794","Ln","5","794","--","","","--","",""
"4293","306EFeb1809","MILITIA 3       ","30","42","28","67","Mi","4","745","Mi","4","745","Mi","4","745","--","","","--","","","--","","","--","",""
"4304","306EFeb1809","MILITIA 4       ","50","61","28","63","Mi","3","767","Mi","3","767","Mi","3","767","--","","","--","","","--","","","--","",""
"4312","306EFeb1809","RIFLES 1        ","18","41","28","66","Rm","6","797","Rm","6","797","Rm","6","797","Rm","6","797","Rm","6","797","--","","","--","",""
"4322","306EFeb1809","RIFLES 2        ","18","41","28","66","Rm","6","797","Rm","6","797","Rm","6","797","Rm","6","797","Rm","6","797","--","","","--","",""
"4332","306EFeb1809","RIFLES 3        ","18","41","28","66","Rm","6","797","Rm","6","797","Rm","6","797","Rm","6","797","Rm","6","797","--","","","--","",""
"4341","306EFeb1809","LINE 1          ","18","41","28","66","Ln","6","797","Ln","6","797","Ln","6","797","Ln","6","797","Ln","6","797","--","","","--","",""
"4350","306EFeb1809","MILITIA 1       ","30","42","28","67","Mi","4","745","Mi","4","745","Mi","4","745","Mi","4","745","Mi","4","745","--","","","--","",""
