"TurnId","ItemNo","X","Y","Boarded","Report"
"307EOct1808","91","23","20","1155","50 Battalions,   21 War- &    4 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EOct1808","92","28","20","1168","43 Battalions,    1 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EOct1808","93","31","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    small"
"307EOct1808","94","34","92","1167"," 6 Battalions,    1 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EOct1808","95","83","75","","14 Battalions,    4 War- &    1 merchant Ships at position,    2 Brigades &    0 Ships in vicinity    -----"
"307EOct1809","91","14","19","1161"," 0 Battalions,    5 War- &    8 merchant Ships at position,   20 Brigades &    7 Ships in vicinity    -----"
"307EOct1809","92","33","19","","80 Battalions,    0 War- &    4 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EOct1809","93","23","27",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    large"
"307EOct1809","94","26","92","1167"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EOct1809","95","82","88",""," 7 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    8 Ships in vicinity    -----"
"307ESep1808","91","38","15","1155"," 0 Battalions,   22 War- &    4 merchant Ships at position,   10 Brigades &    0 Ships in vicinity    -----"
"307ESep1808","92","34","17","1168"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &   12 Ships in vicinity    mediu"
"307ESep1808","93","38","33","","01 Battalions,    2 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307ESep1808","94","26","92","1167"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307ESep1808","95","83","75","","14 Battalions,    7 War- &    2 merchant Ships at position,    3 Brigades &    0 Ships in vicinity    -----"
"307ESep1809","91","14","19","1161"," 0 Battalions,    1 War- &    9 merchant Ships at position,   20 Brigades &   10 Ships in vicinity    -----"
"307ESep1809","92","28","20","","12 Battalions,    1 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307ESep1809","93","23","27",""," 0 Battalions,    0 War- &    0 merchant Ships at position,   30 Brigades &    0 Ships in vicinity    large"
"307ESep1809","94","26","92","1167"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307ESep1809","95","82","88",""," 7 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"348BAug1809","91","28","20","","20 Battalions,   18 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"348BAug1809","92","23","27","","30 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"348BAug1809","93","38","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    8 Brigades &    0 Ships in vicinity    -----"
"348BAug1809","95","83","75",""," 5 Battalions,    0 War- &    4 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"348BSep1809","91","28","20",""," 0 Battalions,   18 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"348BSep1809","92","23","27",""," 5 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"348BSep1809","93","38","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,   12 Brigades &    0 Ships in vicinity    -----"
"348BSep1809","95","83","75",""," 5 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"348EAug1809","91","28","20","","20 Battalions,   18 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"348EAug1809","92","23","27","","30 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"348EAug1809","93","38","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    8 Brigades &    0 Ships in vicinity    -----"
"348EAug1809","95","83","75",""," 5 Battalions,    0 War- &    4 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"348ESep1809","91","28","20",""," 0 Battalions,   18 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"348ESep1809","92","23","27",""," 5 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"348ESep1809","93","38","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,   12 Brigades &    0 Ships in vicinity    -----"
"348ESep1809","95","83","75",""," 5 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"test","91","5","41","","90 Battalions,    8 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"test","92","9","46",""," 0 Battalions,    4 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"test","93","23","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"test","94","22","80","1075"," 0 Battalions,    5 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"test","95","90","84","1069","14 Battalions,    4 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
