"ItemNo","State","Name","ShortName","Cost","EcPtsPer25","EF","HC","LR","RG","SimMP","MP","Formation","Allow_Co","Allow_Li","Allow_Sk","Allow_Sq","IsColonial","TroopSpecification","IsCavalry"
"3","K","Line Infantry","Ln","110","4","7","4","2","6","6","26","Co,Li, Sq","True","False","False","False","False","","False"
"3","M","Zoaves","Zo","100","4","6","3","2","8","6","26","Co,Li,Sk","True","False","False","False","False","","False"
"3","N","Light Infantry","Li","110","4","6","3","2","8","8","28","Co,Li,Sk","True","False","False","False","False","","False"
"3","P","Grenadier","GR","140","5","8","6","3","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"3","R","Rifleman","Rm","120","5","7","3","3","8","8","24","Co,Li,Sk","True","False","False","False","False","","False"
"3","S","Militia","Mi","70","2","6","3","1","6","8","28","Co","True","False","False","False","False","","False"
"3","T","Warriors","Wa","70","1","5","2","0","0","10","28","Co","True","False","False","False","False","","False"
"3","W","Grenadier","GR","160","5","8","6","3","6","6","32","Co,Li, Sq","True","False","False","False","False","","False"
"4","R","Garde Riflemen","GA","300","10","10","5","4","8","8","24","Co,Li,Sk","True","False","False","False","False","","False"
"5","A","Rifleman","Rm","130","5","8","4","3","8","8","28","Co,Li,Sk","True","False","False","False","False","","False"
"5","B","Rifleman","Rm","120","5","7","4","3","8","8","32","Co,Li,Sk","True","False","False","False","False","","False"
"5","D","Rifleman","Rm","120","5","8","3","3","8","8","28","Co,Li,Sk","True","False","False","False","False","","False"
"5","E","Line Infantry","Ln","100","4","6","4","2","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"5","F","Tiralieur","Ti","130","4","7","4","3","8","8","32","Co,Li,Sk","True","False","False","False","False","","False"
"5","G","Pioneers","Pi","160","7","8","2","1","6","8","28","Co","True","False","False","False","False","","False"
"5","H","Rifleman","Rm","120","5","7","4","3","8","8","32","Co,Li,Sk","True","False","False","False","False","","False"
"5","I","Rifleman","Rm","120","5","7","4","3","8","8","32","Co,Li,Sk","True","False","False","False","False","","False"
"5","K","Cazadores","Cz","140","5","7","3","3","8","8","28","Co,Li,Sk","True","False","False","False","False","","False"
"5","M","Turcos","Tc","120","4","6","3","2","6","6","26","Co,Li, Sq","True","False","False","False","False","","False"
"5","N","Line Infantry","Ln","100","4","6","4","2","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"5","P","Rifleman","Rm","130","5","8","3","3","8","8","28","Co,Li,Sk","True","False","False","False","False","","False"
"5","R","Musketeer","Mu","90","4","6","4","2","6","6","24","Co,Li, Sq","True","False","False","False","False","","False"
"5","S","Musketeer","Mu","100","4","7","4","2","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"5","T","Light Infantry","Li","130","5","6","3","2","8","8","24","Co,Li,Sk","True","False","False","False","False","","False"
"5","W","Voltigeur","Vo","120","4","7","4","3","8","8","32","Co,Li,Sk","True","False","False","False","False","","False"
"7","A","Veteran Reserve","Vr","70","3","6","3","1","6","8","32","Co","True","False","False","False","False","","False"
"7","B","Musketeer","Mu","70","3","6","3","1","6","8","32","Co,Li","True","False","False","False","False","","False"
"7","D","Veteran Reserve","Vr","80","2","5","3","1","6","6","28","Co","True","False","False","False","False","","False"
"7","E","Militia","Mi","80","2","5","3","1","6","8","28","Co","True","False","False","False","False","","False"
"7","F","Voltigeure","Vo","110","4","7","4","2","8","8","32","Co,Li,Sk","True","False","False","False","False","","False"
"7","G","Line Infantry","Ln","120","4","7","3","2","6","6","26","Co,Li, Sq","True","False","False","False","False","","False"
"7","H","Musketeer","Mu","70","3","6","3","1","6","8","32","Co,Li","True","False","False","False","False","","False"
"7","I","Musketeer","Mu","70","3","6","3","1","6","8","32","Co,Li","True","False","False","False","False","","False"
"7","K","Atiradores","AT","250","8","7","3","4","8","8","28","Co,Li,Sk","True","False","False","False","False","","False"
"7","M","Religious Fanatics","Rf","60","1","5","3","0","0","8","32","Co","True","False","False","False","False","","False"
"7","N","Militia","Mi","70","2","5","3","1","6","8","28","Co","True","False","False","False","False","","False"
"7","P","Veteran Reserve","Vr","60","3","7","3","1","6","8","28","Co","True","False","False","False","False","","False"
"7","R","Pioneers","Pi","190","7","6","2","1","6","6","24","Co","True","False","False","False","False","","False"
"7","S","Riflemen","Rm","120","4","8","3","3","8","8","28","Co,Li,Sk","True","False","False","False","False","","False"
"7","T","Line Infantry","Ln","100","5","6","3","2","6","6","24","Co,Li, Sq","True","False","False","False","False","","False"
"7","W","Militia","Mi","80","2","5","3","1","6","8","32","Co","True","False","False","False","False","","False"
"9","A","Light infantry","Li","120","4","6","4","2","8","8","28","Co,Li,Sk","True","False","False","False","False","","False"
"9","B","Pioneers","Pi","150","7","7","2","1","6","6","32","Co","True","False","False","False","False","","False"
"9","D","Pioneers","Pi","150","7","7","2","1","6","6","28","Co","True","False","False","False","False","","False"
"9","E","Pioneers","Pi","180","7","6","2","1","6","6","28","Co","True","False","False","False","False","","False"
"9","F","Militia","Mi","70","3","6","3","1","6","8","32","Co","True","False","False","False","False","","False"
"9","G","Rifleman","Rm","300","9","8","3","4","8","8","28","Co,Li,Sk","True","False","False","False","False","","False"
"9","H","Pioneers","Pi","150","7","7","2","1","6","6","32","Co","True","False","False","False","False","","False"
"9","I","Pioneers","Pi","150","7","7","2","1","6","6","32","Co","True","False","False","False","False","","False"
"9","K","Militia","Mi","70","2","5","2","1","6","6","26","Co","True","False","False","False","False","","False"
"9","M","Palace Guard","Pa","140","5","7","4","1","6","6","26","Co,Li, Sq","True","False","False","False","False","","False"
"9","N","Pioneers","Pi","180","7","6","2","1","6","6","28","Co","True","False","False","False","False","","False"
"9","P","Pioneers","Pi","160","7","8","2","1","6","6","28","Co","True","False","False","False","False","","False"
"9","R","Farmer Militia","Fm","70","2","5","3","1","6","10","32","Co","True","False","False","False","False","","False"
"9","S","Pioneers","Pi","150","7","7","2","1","6","6","28","Co","True","False","False","False","False","","False"
"9","T","Janitshars","Ja","75","2","5","3","1","6","8","28","Co,Li","True","False","False","False","False","","False"
"9","W","Pioneers","Pi","180","7","7","2","1","6","6","32","Co","True","False","False","False","False","","False"
"11","A","Pioneers","Pi","160","7","7","2","1","6","6","28","Co","True","False","False","False","False","","False"
"11","E","Riflemen","Rm","130","5","7","3","3","8","8","28","Co,Li,Sk","True","False","False","False","False","","False"
"11","F","Pioneers","Pi","150","7","7","2","1","6","6","32","Co","True","False","False","False","False","","False"
"11","G","Militia","Mi","70","3","6","2","2","6","8","24","Co","True","False","False","False","False","","False"
"11","K","Pioneers","Pi","160","7","7","2","1","6","6","26","Co","True","False","False","False","False","","False"
"11","M","Pioneers","Pi","200","7","6","2","1","6","6","24","Co","True","False","False","False","False","","False"
"11","N","Riflemen","Rm","130","5","7","3","3","8","8","28","Co,Li,Sk","True","False","False","False","False","","False"
"11","T","Pioneers","Pi","200","7","6","2","1","6","6","24","Co","True","False","False","False","False","","False"
"13","G","Kings German Legion","KL","130","4","7","4","2","6","6","26","Co,Li, Sq","True","False","False","False","False","","False"
"17","A","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","B","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","D","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","E","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","F","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","G","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","H","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","I","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","K","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","M","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","N","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","P","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","R","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","S","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","T","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"17","W","Colonial Auxiliaries","Ca","70","2","4","2","1","6","10","32","Co","True","False","False","False","False","","False"
"19","A","Colonial Troops","Kt","500","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","B","Colonial Troops","Kt","450","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","D","Colonial Troops","Kt","450","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","E","Colonial Troops","Kt","400","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","F","Colonial Troops","Kt","400","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","G","Colonial Troops","Kt","400","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","H","Colonial Troops","Kt","400","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","I","Colonial Troops","Kt","450","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","K","Colonial Troops","Kt","400","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","M","Colonial Troops","Kt","450","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","N","Colonial Troops","Kt","450","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","P","Colonial Troops","Kt","500","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","R","Colonial Troops","Kt","500","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","S","Colonial Troops","Kt","450","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","T","Colonial Troops","Kt","500","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"19","W","Colonial Troops","Kt","500","5","6","4","2","6","8","32","Co,Li,Sk,Sq","True","False","False","False","False","","False"
"21","A","Cuirassier","Cu","200","14","9","8","0","0","14","32","Co,Li","True","False","False","False","False","Cu","True"
"21","B","Cuirassier","Cu","200","14","7","8","0","0","12","32","Co,Li","True","False","False","False","False","Cu","True"
"21","D","Dragoon","Dr","160","8","7","6","1","3","18","36","Co,Li","True","False","False","False","False","","True"
"21","E","Cuirassier","Cu","220","14","8","8","0","0","14","28","Co,Li","True","False","False","False","False","Cu","True"
"21","F","Chevauleger Lancier","Cl","160","8","7","5","0","0","18","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"21","G","Dragoon","Dr","180","8","8","6","2","3","18","32","Co,Li","True","False","False","False","False","","True"
"21","H","Cuirassier","Cu","200","14","7","8","0","0","12","32","Co,Li","True","False","False","False","False","Cu","True"
"21","I","Cuirassier","Cu","210","14","7","8","0","0","12","32","Co,Li","True","False","False","False","False","Cu","True"
"21","K","Light Dragoons","lD","160","7","7","5","2","7","20","36","Co,Li,Sk","True","False","False","False","False","Lc","True"
"21","M","Berber","Be","60","2","5","2","1","3","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"21","N","Cuirassier","Cu","220","14","7","8","0","0","14","28","Co,Li","True","False","False","False","False","Cu","True"
"21","P","Cuirassier","Cu","220","14","7","8","0","0","12","32","Co,Li","True","False","False","False","False","Cu","True"
"21","R","Cuirassier","Cu","230","14","8","8","0","0","12","32","Co,Li","True","False","False","False","False","Cu","True"
"21","S","Dragoon","Dr","160","8","7","6","1","3","18","40","Co,Li","True","False","False","False","False","","True"
"21","T","Sipahis","Sp","350","15","8","7","0","0","14","32","Co,Li","True","False","False","False","False","Lr,Cu","True"
"21","W","Chevauleger Lancier","Cl","120","8","7","6","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"22","E","Garde de Corps","Gc","230","14","10","8","2","3","14","32","Co,Li","True","False","False","False","False","Cu","True"
"22","F","Garde du Corps","Gc","280","14","10","9","3","3","14","32","Co,Li","True","False","False","False","False","Lr,Cu","True"
"22","G","Household","Hh","260","14","10","8","3","3","14","32","Co,Li","True","False","False","False","False","Cu","True"
"22","N","Garde du Corps","Gc","300","14","10","8","2","3","14","32","Co,Li","True","False","False","False","False","Cu","True"
"22","R","Garde Cuirassier","Gc","270","14","10","8","2","3","12","32","Co,Li","True","False","False","False","False","Cu","True"
"22","S","Special Garde","SG","300","14","10","8","3","3","14","32","Co,Li","True","False","False","False","False","Cu","True"
"22","W","Garde Chevauleger","Gc","250","14","10","8","2","3","14","32","Co,Li","True","False","False","False","False","Cu","True"
"23","A","Dragoon","Dr","150","8","7","6","1","3","18","40","Co,Li","True","False","False","False","False","","True"
"23","B","Dragoon","Dr","160","8","7","6","1","3","18","40","Co,Li","True","False","False","False","False","","True"
"23","D","Hussar","Hu","120","5","7","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"23","E","Dragoon","Dr","180","8","7","6","1","3","18","36","Co,Li","True","False","False","False","False","","True"
"23","F","Cuirassier","Cu","200","14","8","8","0","0","14","32","Co,Li","True","False","False","False","False","Cu","True"
"23","G","Light Dragoons","lD","160","6","7","5","2","7","20","36","Co,Li,Sk","True","False","False","False","False","Lc","True"
"23","H","Dragoon","Dr","160","8","7","6","1","3","18","40","Co,Li","True","False","False","False","False","","True"
"23","I","Dragoon","Dr","160","8","7","6","1","3","18","40","Co,Li","True","False","False","False","False","","True"
"23","K","Dragoon","Dr","180","8","7","6","1","3","18","36","Co,Li","True","False","False","False","False","","True"
"23","M","Dragoon","Dr","300","8","6","5","1","3","18","32","Co,Li","True","False","False","False","False","","True"
"23","N","Dragoon","Dr","180","8","7","6","1","3","18","36","Co,Li","True","False","False","False","False","","True"
"23","P","Dragoon","Dr","180","8","7","6","1","3","18","36","Co,Li","True","False","False","False","False","","True"
"23","R","Dragoon","Dr","160","8","7","6","1","3","18","32","Co,Li","True","False","False","False","False","","True"
"23","S","Irregulars","Ir","80","3","5","3","1","3","20","40","Co","True","False","False","False","False","Lc","True"
"23","T","Dragoon","Dr","200","8","6","5","1","3","18","36","Co,Li","True","False","False","False","False","","True"
"23","W","Cuirassier","Cu","200","14","8","8","0","0","12","32","Co,Li,","True","False","False","False","False","Cu","True"
"24","D","Carabiniers","Cr","260","11","8","7","4","5","14","32","Co,Li,Sk","True","False","False","False","False","","True"
"24","F","Carabinier","Cr","250","10","8","7","4","5","14","32","Co,Li","True","False","False","False","False","","True"
"25","A","Hussar","Hu","100","5","8","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"25","B","Garde de Corps","GC","250","14","8","8","2","3","14","32","Co,Li","True","False","False","False","False","Cu","True"
"25","D","Kings Garde","Kg","230","14","9","8","2","3","14","32","Co,Li","True","False","False","False","False","Cu","True"
"25","E","Hussar","Hu","120","5","7","4","1","7","20","36","Co,Li,Sk","True","False","False","False","False","Lc","True"
"25","F","Dragoon","Dr","150","8","7","6","1","3","18","40","Co,Li","True","False","False","False","False","","True"
"25","G","Hussar","Hu","120","5","7","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"25","H","Garde du Corps","Gc","250","14","9","8","2","3","14","32","Co,Li","True","False","False","False","False","Cu","True"
"25","I","Garde de Corps","GC","250","14","8","8","2","3","14","32","Co,Li","True","False","False","False","False","Cu","True"
"25","K","Hussar","Hu","120","5","7","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"25","M","Hussar","Hu","200","5","6","4","1","7","20","36","Co,Li,Sk","True","False","False","False","False","Lc","True"
"25","N","Hussar","Hu","120","5","6","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"25","P","Hussar","Hu","120","5","7","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"25","R","Hussar","Hu","120","5","7","4","1","7","20","36","Co,Li,Sk","True","False","False","False","False","Lc","True"
"25","S","Cuirassier","Cu","220","14","7","8","0","0","12","32","Co,Li","True","False","False","False","False","Cu","True"
"25","T","Hussar","Hu","150","5","6","4","1","7","20","36","Co,Li,Sk","True","False","False","False","False","Lc","True"
"25","W","Cossacks","Co","90","4","6","5","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"27","A","Uhlan","Uh","150","8","7","5","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"27","B","Hussar","Hu","120","5","7","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"27","D","Uhlan","Uh","150","8","7","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"27","E","Uhlan","Uh","160","8","7","5","0","0","20","36","Co,Li","True","False","False","False","False","Lc,Lr","True"
"27","F","Hussar","Hu","120","5","7","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"27","G","Chasseur Britanique","CB","85","8","7","5","0","0","20","40","Co,Li","True","False","False","False","False","Lc, Lr","True"
"27","H","Hussar","Hu","120","5","7","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"27","I","Hussar","Hu","120","5","7","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"27","K","Uhlan","Uh","150","8","7","5","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"27","M","Camel Troops","Ct","180","8","6","5","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"27","N","Uhlan","Uh","160","8","7","5","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"27","R","Cossacks","Co","80","4","5","5","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"27","S","Hussar","Hu","100","5","7","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"27","T","Mamelukes","Mm","110","4","8","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc","True"
"27","W","Mounted Riflemen","MR","120","6","7","4","2","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"29","A","Reserve Cavalry","Rc","70","3","5","3","1","3","18","32","Co","True","False","False","False","False","Lc","True"
"29","B","Uhlan","Uh","150","8","7","5","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"29","D","Reserve Cavalry","Rc","80","3","5","3","1","3","18","40","Co","True","False","False","False","False","Lc","True"
"29","E","Militia Cavalry","Ml","80","3","5","3","1","3","20","40","Co","True","False","False","False","False","Lc","True"
"29","F","Militia Cavalry","Ml","80","3","5","3","1","3","18","40","Co","True","False","False","False","False","Lc","True"
"29","G","Militia Cavalry","Ml","70","3","5","3","1","3","20","40","Co","True","False","False","False","False",",Lc","True"
"29","H","Uhlan","Uh","150","8","7","5","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"29","I","Uhlan","Uh","150","8","7","5","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"29","K","Reserve Cavalry","Rc","80","3","5","3","1","3","20","40","Co","True","False","False","False","False","Lc","True"
"29","M","Tuareg","Tu","60","3","5","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"29","N","Reserve Cavalry","Rc","80","3","5","3","1","3","20","40","Co","True","False","False","False","False","Lc","True"
"29","P","Uhlan","Uh","180","8","7","5","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"29","R","Uhlan","Uh","140","8","7","5","0","0","20","36","Co,Li","True","False","False","False","False","Lc,Lr","True"
"29","S","Uhlan","Uh","150","8","7","5","0","0","18","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"29","T","Uhlan","Uh","180","8","6","4","0","0","20","36","Co,Li","True","False","False","False","False","Lc,Lr","True"
"29","W","Hussar","Hu","110","5","6","4","1","7","20","40","Co,Li,Sk","True","False","False","False","False","Lc","True"
"31","B","Reserve Cavalry","Rc","80","3","5","3","1","3","20","40","Co","True","False","False","False","False","Lc","True"
"31","H","Militia Cavalry","Ml","80","3","5","3","1","3","20","40","Co","True","False","False","False","False","Lc","True"
"31","I","Reserve Cavalry","Rc","80","3","5","3","1","3","20","40","Co","True","False","False","False","False","Lc","True"
"31","K","Cuirassier","Cu","210","14","7","8","0","0","14","32","Co,Li","True","False","False","False","False","Cu","True"
"31","M","Siphais","Si","350","15","7","7","0","0","14","32","Co,Li","True","False","False","False","False","Lr,Cu","True"
"31","P","Mounted Reserve","Mr","70","3","6","4","1","4","18","36","Co,Li","True","False","False","False","False","Lc","True"
"37","A","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","B","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co,Sk","True","False","False","False","False","Lc","True"
"37","D","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","E","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","F","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","G","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","H","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","I","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","K","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","M","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","N","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","P","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","R","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","S","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","T","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"37","W","Mounted Colonials","Mc","100","2","4","3","1","6","20","40","Co, Sk","True","False","False","False","False","Lc","True"
"39","A","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","B","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","D","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","E","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","F","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","G","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","H","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","I","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","K","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","M","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","N","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","P","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","R","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
