"ItemNo","TurnId","Rank","Name","X","Y","Boarded","Federation","MP","CommandCapacity"
"8","348EAug1809","Colonel       ","WISSEL         ","36","23","","64","75","4"
"9","348EAug1809","Colonel       ","BODECKER       ","35","27","","61","75","2"
"1","348ESep1809","Field Marshal ","WREDE          ","35","27","","61","75","19"
"2","348ESep1809","Lieut General ","VON KRUSE      ","35","27","","62","75","14"
"3","348ESep1809","Major-General ","HEISSE         ","35","27","","61","75","9"
"4","348ESep1809","Colonel       ","OCHS           ","35","27","","62","75","1"
"5","348ESep1809","Colonel       ","MAHN           ","38","21","","63","75","2"
"6","348ESep1809","Colonel       ","VON BUTTLAR    ","36","27","","0","75","4"
"7","348ESep1809","Colonel       ","VINCKE         ","35","27","","61","75","1"
"8","348ESep1809","Colonel       ","WISSEL         ","36","23","","64","75","4"
"9","348ESep1809","Colonel       ","BODECKER       ","35","27","","61","75","2"
"1","test","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","test","Lieut General ","CASTANOS       ","0","0","1076","0","75","14"
"3","test","Major-General ","CONDE DE RAMON ","6","81","","71","75","10"
"4","test","Brigadier     ","DE LA ROMANA   ","0","0","1062","0","75","8"
