"ItemNo","TurnId","Type","X","Y","Money","Citizens","EcPts","Wood","Horses","Text","FortressSize"
"203","306EJun1808","Eur","13","41","96000","0","0","0","0","0","2"
"231","306EJun1808","Car","9","84","0","0","0","0","0","0","0"
"233","306EJun1808","Car","22","80","0","0","0","0","0","0","0"
"234","306EJun1808","Car","26","92","0","0","0","0","0","0","0"
"246","306EJun1808","Ind","83","75","0","0","0","0","0","0","0"
"301","306EJun1808","Eur","7","34","6000","0","13","0","0","0","0"
"305","306EJun1808","Eur","18","41","0","0","0","0","0","0","0"
"337","306EJun1808","Ind","90","84","0","0","0","0","0","0","0"
"203","306EMar1808","Eur","13","41","0","0","0","0","0","0","2"
"231","306EMar1808","Car","9","84","0","0","0","0","0","0","0"
"233","306EMar1808","Car","22","80","0","0","0","0","0","0","0"
"234","306EMar1808","Car","26","92","0","0","0","0","0","0","0"
"301","306EMar1808","Eur","7","34","6000","0","13","0","0","0","0"
"305","306EMar1808","Eur","18","41","0","0","0","0","0","0","0"
"337","306EMar1808","Ind","90","84","0","0","0","0","0","0","0"
"203","306ENov1808","Eur","13","41","3200","0","140","0","0","0","2"
"231","306ENov1808","Car","9","84","0","0","0","0","0","0","0"
"233","306ENov1808","Car","22","80","0","0","0","0","0","0","0"
"234","306ENov1808","Car","26","92","0","0","0","0","0","0","0"
"246","306ENov1808","Ind","83","75","0","0","0","0","0","0","0"
"301","306ENov1808","Eur","7","34","6000","0","13","0","0","0","0"
"305","306ENov1808","Eur","18","41","6404","0","0","0","0","0","0"
"337","306ENov1808","Ind","90","84","0","0","0","0","0","0","0"
"203","306EOct1808","Eur","13","41","457600","0","1712","0","0","0","2"
"231","306EOct1808","Car","9","84","0","0","0","0","0","0","0"
"233","306EOct1808","Car","22","80","0","0","0","0","0","0","0"
"234","306EOct1808","Car","26","92","0","0","0","0","0","0","0"
"246","306EOct1808","Ind","83","75","0","0","0","0","0","0","0"
"301","306EOct1808","Eur","7","34","6000","0","13","0","0","0","0"
"305","306EOct1808","Eur","18","41","0","0","0","0","0","0","0"
"337","306EOct1808","Ind","90","84","0","0","0","0","0","0","0"
"204","307EApr1808","Eur","23","20","0","0","0","0","0","0","2"
"241","307EApr1808","Ind","56","79","0","0","0","0","0","0","0"
"242","307EApr1808","Ind","62","88","0","0","0","0","0","0","0"
"302","307EApr1808","Eur","9","46","0","0","0","0","0","0","2"
"303","307EApr1808","Eur","13","19","0","0","0","0","0","0","0"
"307","307EApr1808","Eur","22","11","0","0","0","0","0","0","0"
"315","307EApr1808","Eur","38","53","0","0","0","0","0","0","0"
"318","307EApr1808","Eur","47","47","0","0","0","0","0","0","0"
"328","307EApr1808","Car","24","77","0","0","0","0","0","0","0"
"334","307EApr1808","Ind","71","74","0","0","0","0","0","0","0"
"204","307EApr1809","Eur","23","20","263000","4000","834","6","0","8","2"
"226","307EApr1809","Eur","18","21","299585","576","33","4401","0","232","0"
"229","307EApr1809","Eur","37","13","0","0","0","0","0","0","0"
"237","307EApr1809","Eur","22","21","0","0","0","0","0","0","0"
"238","307EApr1809","Eur","15","14","1840","64","150","0","0","0","1"
"241","307EApr1809","Ind","56","79","0","0","0","0","0","0","0"
"242","307EApr1809","Ind","62","88","0","0","0","0","0","0","0"
"249","307EApr1809","Eur","12","19","0","0","0","0","0","0","0"
"251","307EApr1809","Ind","80","79","0","0","0","0","0","0","0"
"302","307EApr1809","Eur","9","46","0","0","0","0","0","0","2"
"303","307EApr1809","Eur","13","19","0","0","0","0","0","0","0"
"307","307EApr1809","Eur","22","11","0","0","0","0","0","0","0"
"315","307EApr1809","Eur","38","53","0","0","0","0","0","0","0"
"318","307EApr1809","Eur","47","47","0","0","0","0","0","0","0"
"328","307EApr1809","Car","24","77","0","0","0","0","0","0","0"
"334","307EApr1809","Ind","71","74","0","0","0","0","0","0","0"
"204","307EAug1808","Eur","23","20","901600","200","1074","2000","0","4","2"
"226","307EAug1808","Eur","18","21","0","0","0","0","0","0","0"
"241","307EAug1808","Ind","56","79","0","0","0","0","0","0","0"
"242","307EAug1808","Ind","62","88","0","0","0","0","0","0","0"
"302","307EAug1808","Eur","9","46","0","0","0","0","0","0","2"
"303","307EAug1808","Eur","13","19","40000","0","1444","0","0","0","0"
"307","307EAug1808","Eur","22","11","0","0","0","0","0","0","0"
"315","307EAug1808","Eur","38","53","0","0","0","0","0","0","0"
"318","307EAug1808","Eur","47","47","0","0","0","0","0","0","0"
"328","307EAug1808","Car","24","77","0","0","0","0","0","0","0"
"334","307EAug1808","Ind","71","74","0","0","0","0","0","0","0"
"204","307EDec1808","Eur","23","20","0","0","0","0","0","4","2"
"226","307EDec1808","Eur","18","21","428585","150","140","1400","0","0","0"
"237","307EDec1808","Eur","22","21","0","0","0","0","0","0","0"
"238","307EDec1808","Eur","15","14","0","0","0","0","0","0","1"
"241","307EDec1808","Ind","56","79","0","0","0","0","0","0","0"
"242","307EDec1808","Ind","62","88","0","0","0","0","0","0","0"
"302","307EDec1808","Eur","9","46","0","0","0","0","0","0","2"
"307","307EDec1808","Eur","22","11","0","0","0","0","0","0","0"
"315","307EDec1808","Eur","38","53","0","0","0","0","0","0","0"
"318","307EDec1808","Eur","47","47","0","0","0","0","0","0","0"
"328","307EDec1808","Car","24","77","0","0","0","0","0","0","0"
"334","307EDec1808","Ind","71","74","0","0","0","0","0","0","0"
"204","307EFeb1809","Eur","23","20","520000","4000","640","0","0","4","2"
"226","307EFeb1809","Eur","18","21","2174585","823","6","4581","0","239","0"
"237","307EFeb1809","Eur","22","21","0","0","0","0","0","0","0"
"238","307EFeb1809","Eur","15","14","0","0","56","0","0","0","1"
"241","307EFeb1809","Ind","56","79","0","0","0","0","0","0","0"
"242","307EFeb1809","Ind","62","88","0","0","0","0","0","0","0"
"249","307EFeb1809","Eur","12","19","0","0","0","0","0","0","0"
"302","307EFeb1809","Eur","9","46","0","0","0","0","0","0","2"
"307","307EFeb1809","Eur","22","11","0","0","0","0","0","0","0"
"315","307EFeb1809","Eur","38","53","0","0","0","0","0","0","0"
"318","307EFeb1809","Eur","47","47","0","0","0","0","0","0","0"
"328","307EFeb1809","Car","24","77","0","0","0","0","0","0","0"
"334","307EFeb1809","Ind","71","74","0","0","0","0","0","0","0"
"204","307EJan1808","Eur","23","20","0","0","0","0","0","0","2"
"241","307EJan1808","Ind","56","79","0","0","0","0","0","0","0"
"242","307EJan1808","Ind","62","88","0","0","0","0","0","0","0"
"302","307EJan1808","Eur","9","46","0","0","0","0","0","0","2"
"303","307EJan1808","Eur","13","19","0","0","0","0","0","0","0"
"307","307EJan1808","Eur","22","11","0","0","0","0","0","0","0"
"315","307EJan1808","Eur","38","53","0","0","0","0","0","0","0"
"318","307EJan1808","Eur","47","47","0","0","0","0","0","0","0"
"328","307EJan1808","Car","24","77","0","0","0","0","0","0","0"
"334","307EJan1808","Ind","71","74","0","0","0","0","0","0","0"
"204","307EJan1809","Eur","23","20","0","0","0","0","0","4","2"
"226","307EJan1809","Eur","18","21","12585","150","180","1400","0","0","0"
"237","307EJan1809","Eur","22","21","0","0","0","0","0","0","0"
"238","307EJan1809","Eur","15","14","0","0","56","0","0","0","1"
"241","307EJan1809","Ind","56","79","0","0","0","0","0","0","0"
"242","307EJan1809","Ind","62","88","0","0","0","0","0","0","0"
"302","307EJan1809","Eur","9","46","0","0","0","0","0","0","2"
"307","307EJan1809","Eur","22","11","0","0","0","0","0","0","0"
"315","307EJan1809","Eur","38","53","0","0","0","0","0","0","0"
"318","307EJan1809","Eur","47","47","0","0","0","0","0","0","0"
"328","307EJan1809","Car","24","77","0","0","0","0","0","0","0"
"334","307EJan1809","Ind","71","74","0","0","0","0","0","0","0"
"204","307EJul1808","Eur","23","20","9600","0","424","0","0","0","2"
"241","307EJul1808","Ind","56","79","0","0","0","0","0","0","0"
"242","307EJul1808","Ind","62","88","0","0","0","0","0","0","0"
"302","307EJul1808","Eur","9","46","0","0","0","0","0","0","2"
"303","307EJul1808","Eur","13","19","0","0","1560","0","0","0","0"
"307","307EJul1808","Eur","22","11","0","0","0","0","0","0","0"
"315","307EJul1808","Eur","38","53","0","0","0","0","0","0","0"
"318","307EJul1808","Eur","47","47","0","0","0","0","0","0","0"
"328","307EJul1808","Car","24","77","0","0","0","0","0","0","0"
"334","307EJul1808","Ind","71","74","0","0","0","0","0","0","0"
"204","307EJul1809","Eur","23","20","0","0","104","0","0","0","2"
"226","307EJul1809","Eur","18","21","0","0","0","0","0","0","0"
"229","307EJul1809","Eur","37","13","0","0","0","0","0","0","0"
"232","307EJul1809","Car","13","73","0","0","0","0","0","0","0"
"241","307EJul1809","Ind","56","79","0","0","0","0","0","0","0"
"242","307EJul1809","Ind","62","88","0","0","0","0","0","0","0"
"243","307EJul1809","Ind","68","75","0","0","0","0","0","0","0"
"251","307EJul1809","Ind","80","79","0","0","0","0","0","0","0"
"302","307EJul1809","Eur","9","46","0","0","0","0","0","0","2"
"303","307EJul1809","Eur","13","19","385","0","0","0","0","0","0"
"307","307EJul1809","Eur","22","11","0","0","0","0","0","0","0"
"315","307EJul1809","Eur","38","53","0","0","0","0","0","0","0"
"318","307EJul1809","Eur","47","47","0","0","0","0","0","0","0"
"328","307EJul1809","Car","24","77","0","0","0","0","0","0","0"
"204","307EJun1808","Eur","23","20","0","0","0","0","0","0","2"
"241","307EJun1808","Ind","56","79","0","0","0","0","0","0","0"
"242","307EJun1808","Ind","62","88","0","0","0","0","0","0","0"
"302","307EJun1808","Eur","9","46","0","0","0","0","0","0","2"
"303","307EJun1808","Eur","13","19","0","0","1560","0","0","0","0"
"307","307EJun1808","Eur","22","11","0","0","0","0","0","0","0"
"315","307EJun1808","Eur","38","53","0","0","0","0","0","0","0"
"318","307EJun1808","Eur","47","47","0","0","0","0","0","0","0"
"328","307EJun1808","Car","24","77","0","0","0","0","0","0","0"
"334","307EJun1808","Ind","71","74","0","0","0","0","0","0","0"
"204","307EMar1808","Eur","23","20","0","0","0","0","0","0","2"
"241","307EMar1808","Ind","56","79","0","0","0","0","0","0","0"
"242","307EMar1808","Ind","62","88","0","0","0","0","0","0","0"
"302","307EMar1808","Eur","9","46","0","0","0","0","0","0","2"
"303","307EMar1808","Eur","13","19","0","0","0","0","0","0","0"
"307","307EMar1808","Eur","22","11","0","0","0","0","0","0","0"
"315","307EMar1808","Eur","38","53","0","0","0","0","0","0","0"
"318","307EMar1808","Eur","47","47","0","0","0","0","0","0","0"
"328","307EMar1808","Car","24","77","0","0","0","0","0","0","0"
"334","307EMar1808","Ind","71","74","0","0","0","0","0","0","0"
"204","307EMay1808","Eur","23","20","0","0","0","0","0","0","2"
"241","307EMay1808","Ind","56","79","0","0","0","0","0","0","0"
"242","307EMay1808","Ind","62","88","0","0","0","0","0","0","0"
"302","307EMay1808","Eur","9","46","0","0","0","0","0","0","2"
"303","307EMay1808","Eur","13","19","0","0","0","0","0","0","0"
"307","307EMay1808","Eur","22","11","0","0","0","0","0","0","0"
"315","307EMay1808","Eur","38","53","0","0","0","0","0","0","0"
"318","307EMay1808","Eur","47","47","0","0","0","0","0","0","0"
"328","307EMay1808","Car","24","77","0","0","0","0","0","0","0"
"334","307EMay1808","Ind","71","74","0","0","0","0","0","0","0"
"204","307EMay1809","Eur","23","20","624000","4800","810","6","0","0","2"
"226","307EMay1809","Eur","18","21","0","0","0","0","0","232","0"
"229","307EMay1809","Eur","37","13","0","0","0","0","0","0","0"
"241","307EMay1809","Ind","56","79","0","0","0","0","0","0","0"
"242","307EMay1809","Ind","62","88","0","0","0","0","0","0","0"
"243","307EMay1809","Ind","68","75","0","0","0","0","0","0","0"
"249","307EMay1809","Eur","12","19","500","0","11","23","0","23","0"
"251","307EMay1809","Ind","80","79","0","0","0","0","0","0","0"
"302","307EMay1809","Eur","9","46","0","0","0","0","0","0","2"
"303","307EMay1809","Eur","13","19","1300000","2271","0","0","0","0","0"
"307","307EMay1809","Eur","22","11","0","0","0","0","0","0","0"
"315","307EMay1809","Eur","38","53","0","0","0","0","0","0","0"
"318","307EMay1809","Eur","47","47","0","0","0","0","0","0","0"
"328","307EMay1809","Car","24","77","0","0","0","0","0","0","0"
"204","307ENov1808","Eur","23","20","500000","0","1089","0","0","4","2"
"226","307ENov1808","Eur","18","21","0","0","40","0","0","0","0"
"237","307ENov1808","Eur","22","21","0","0","0","0","0","0","0"
"238","307ENov1808","Eur","15","14","0","0","0","0","0","0","0"
"241","307ENov1808","Ind","56","79","0","0","0","0","0","0","0"
"242","307ENov1808","Ind","62","88","0","0","0","0","0","0","0"
"302","307ENov1808","Eur","9","46","0","0","0","0","0","0","2"
"307","307ENov1808","Eur","22","11","0","0","0","0","0","0","0"
"315","307ENov1808","Eur","38","53","0","0","0","0","0","0","0"
"318","307ENov1808","Eur","47","47","0","0","0","0","0","0","0"
"328","307ENov1808","Car","24","77","0","0","0","0","0","0","0"
"334","307ENov1808","Ind","71","74","0","0","0","0","0","0","0"
"204","307ENov1809","Eur","23","20","0","0","0","0","0","0","2"
"226","307ENov1809","Eur","18","21","0","0","0","0","0","0","0"
"229","307ENov1809","Eur","37","13","0","0","0","0","0","0","0"
"232","307ENov1809","Car","13","73","0","0","0","0","0","0","0"
"241","307ENov1809","Ind","56","79","0","0","0","0","0","0","0"
"242","307ENov1809","Ind","62","88","0","0","0","0","0","0","0"
"243","307ENov1809","Ind","68","75","392000","5600","448","0","5600","0","0"
"255","307ENov1809","Eur","22","21","0","0","0","0","0","0","0"
"302","307ENov1809","Eur","9","46","0","0","0","0","0","0","2"
"303","307ENov1809","Eur","13","19","0","0","0","0","0","0","0"
"307","307ENov1809","Eur","22","11","0","0","0","0","0","0","0"
"315","307ENov1809","Eur","38","53","0","0","0","0","0","0","0"
"318","307ENov1809","Eur","47","47","0","0","0","0","0","0","0"
"328","307ENov1809","Car","24","77","0","0","0","0","0","0","0"
"204","307EOct1808","Eur","23","20","500000","200","1074","2000","0","4","2"
"226","307EOct1808","Eur","18","21","0","0","0","0","0","0","0"
"241","307EOct1808","Ind","56","79","0","0","0","0","0","0","0"
"242","307EOct1808","Ind","62","88","0","0","0","0","0","0","0"
"302","307EOct1808","Eur","9","46","0","0","0","0","0","0","2"
"303","307EOct1808","Eur","13","19","0","0","208","0","0","0","0"
"307","307EOct1808","Eur","22","11","0","0","0","0","0","0","0"
"315","307EOct1808","Eur","38","53","0","0","0","0","0","0","0"
"318","307EOct1808","Eur","47","47","0","0","0","0","0","0","0"
"328","307EOct1808","Car","24","77","0","0","0","0","0","0","0"
"334","307EOct1808","Ind","71","74","0","0","0","0","0","0","0"
"204","307EOct1809","Eur","23","20","913200","5600","1351","0","0","0","2"
"226","307EOct1809","Eur","18","21","0","0","0","0","0","0","0"
"229","307EOct1809","Eur","37","13","0","0","0","0","0","0","0"
"232","307EOct1809","Car","13","73","0","0","0","0","0","0","0"
"241","307EOct1809","Ind","56","79","0","0","0","0","0","0","0"
"242","307EOct1809","Ind","62","88","0","0","0","0","0","0","0"
"243","307EOct1809","Ind","68","75","392000","5600","448","0","0","0","0"
"251","307EOct1809","Ind","80","79","0","0","0","0","0","0","0"
"255","307EOct1809","Eur","22","21","0","0","0","0","0","0","0"
"256","307EOct1809","Ind","83","74","0","0","0","0","0","0","0"
"302","307EOct1809","Eur","9","46","0","0","0","0","0","0","2"
"303","307EOct1809","Eur","13","19","0","0","0","0","0","0","0"
"307","307EOct1809","Eur","22","11","0","0","0","0","0","0","0"
"315","307EOct1809","Eur","38","53","0","0","0","0","0","0","0"
"318","307EOct1809","Eur","47","47","0","0","0","0","0","0","0"
"328","307EOct1809","Car","24","77","0","0","0","0","0","0","0"
"204","307ESep1808","Eur","23","20","0","200","1074","2000","0","4","2"
"226","307ESep1808","Eur","18","21","20000","0","640","0","0","0","0"
"241","307ESep1808","Ind","56","79","0","0","0","0","0","0","0"
"242","307ESep1808","Ind","62","88","0","0","0","0","0","0","0"
"302","307ESep1808","Eur","9","46","0","0","0","0","0","0","2"
"303","307ESep1808","Eur","13","19","43600","0","1248","0","0","0","0"
"307","307ESep1808","Eur","22","11","0","0","0","0","0","0","0"
"315","307ESep1808","Eur","38","53","0","0","0","0","0","0","0"
"318","307ESep1808","Eur","47","47","0","0","0","0","0","0","0"
"328","307ESep1808","Car","24","77","0","0","0","0","0","0","0"
"334","307ESep1808","Ind","71","74","0","0","0","0","0","0","0"
"204","307ESep1809","Eur","23","20","17200","0","112","0","0","0","2"
"226","307ESep1809","Eur","18","21","0","0","0","0","0","0","0"
"229","307ESep1809","Eur","37","13","0","0","0","0","0","0","0"
"232","307ESep1809","Car","13","73","0","0","0","0","0","0","0"
"241","307ESep1809","Ind","56","79","0","0","0","0","0","0","0"
"242","307ESep1809","Ind","62","88","0","0","0","0","0","0","0"
"243","307ESep1809","Ind","68","75","1064000","0","0","0","0","0","0"
"251","307ESep1809","Ind","80","79","0","0","0","0","0","0","0"
"255","307ESep1809","Eur","22","21","0","0","0","0","0","0","0"
"256","307ESep1809","Ind","83","74","0","0","0","0","0","0","0"
"302","307ESep1809","Eur","9","46","0","0","0","0","0","0","2"
"303","307ESep1809","Eur","13","19","0","0","0","0","0","0","0"
"307","307ESep1809","Eur","22","11","0","0","0","0","0","0","0"
"315","307ESep1809","Eur","38","53","0","0","0","0","0","0","0"
"318","307ESep1809","Eur","47","47","0","0","0","0","0","0","0"
"328","307ESep1809","Car","24","77","0","0","0","0","0","0","0"
"208","348BAug1809","Eur","35","27","4124","1323","6482","0","6468","0","2"
"312","348BAug1809","Eur","33","19","0","0","0","0","0","0","0"
"338","348BAug1809","Ind","90","97","0","0","0","0","0","0","0"
"312","348BSep1809","Eur","33","19","0","0","0","0","0","0","0"
"338","348BSep1809","Ind","90","97","0","0","0","0","0","0","0"
"208","348EAug1809","Eur","35","27","4124","1323","6482","0","6468","0","2"
"312","348EAug1809","Eur","33","19","0","0","0","0","0","0","0"
"338","348EAug1809","Ind","90","97","0","0","0","0","0","0","0"
"312","348ESep1809","Eur","33","19","0","0","0","0","0","0","0"
"338","348ESep1809","Ind","90","97","0","0","0","0","0","0","0"
"203","test","Eur","13","41","1736000","0","96","0","0","0","2"
"231","test","Car","9","84","0","0","0","0","0","0","0"
"233","test","Car","22","80","0","0","0","0","0","0","0"
"234","test","Car","26","92","0","0","0","0","0","0","0"
"301","test","Eur","7","34","0","0","0","0","0","0","0"
"305","test","Eur","18","41","0","0","0","0","0","0","0"
"337","test","Ind","90","84","0","0","0","0","0","0","0"
