"ItemNo","TurnId","WarehouseName","Inhabitants","Foreign","Money","Citizens","EcPts","Food","Stone","Wood","Ore","Zinc","Horses","Textiles","Wool","Gold","Wine"
"2","306EJan1809","275224","275224","0","3195817","53322","610","125","7989","5646","73","77","1972","68","28","155","86"
"3","306EJan1809"," 48256","48256","0","2176148","4559","305","248","3960","903","137","5","845","42","25","136","109"
"1","306EJul1808","107667","1107667","13200","6746908","41030","16738","10582","3672","1423","0","0","6945","55","1","11","0"
"2","306EJul1808","234947","234947","0","1636836","31159","610","1189","679","4548","34","10","1972","68","28","47","116"
"3","306EJul1808"," 38475","38475","0","730321","6221","305","78","289","1863","14","5","845","42","25","81","109"
"1","306EJun1808","063366","1063366","6000","8561584","73358","15240","9680","4922","455","4","0","6945","0","0","11","0"
"2","306EJun1808","219147","219147","0","627835","36350","1060","1397","679","4788","34","4","1972","68","28","26","131"
"3","306EJun1808"," 36000","36000","0","296050","5836","305","107","289","1863","14","5","845","42","25","90","109"
"1","306EMar1808","053685","1053685","0","6355967","36343","4427","10256","719","2328","63","0","6945","25","180","11","20"
"2","306EMar1808","195706","195706","0","4299540","26103","426","1410","679","209","34","4","1972","68","28","9","156"
"3","306EMar1808"," 22000","22000","0","810439","6822","305","228","289","678","14","5","845","42","25","60","109"
"1","306ENov1808","145930","1145930","35465","5785216","76555","24934","10082","14348","10016","0","0","6945","934","1","11","135"
"2","306ENov1808","298977","298977","0","2667953","40152","610","345","4860","5172","58","49","1972","68","28","126","86"
"3","306ENov1808"," 60097","60097","0","761760","4133","305","195","2539","1223","97","5","845","42","25","125","109"
"1","306EOct1808","132085","1132085","31189","7533592","79919","21614","10642","11113","5563","0","0","6945","577","0","11","108"
"2","306EOct1808","296657","296657","0","4377982","30587","610","566","3610","4444","34","39","1972","68","28","102","86"
"3","306EOct1808"," 55237","55237","0","596049","5785","305","222","1941","1543","78","5","845","42","25","111","109"
"1","307EApr1808","959841","959841","35790","8633827","79008","16804","8562","5317","3519","163","1","6912","0","1","35","0"
"2","307EApr1808"," 41055","41055","0","1160489","14823","356","337","257","854","24","9","1435","46","26","27","177"
"3","307EApr1808"," 82071","82071","0","848818","22175","426","483","235","4212","24","11","1687","56","28","25","139"
"1","307EApr1809","022982","1022982","146053","10783109","70043","19848","2978","30322","5521","8","0","13494","468","0","42","33"
"2","307EApr1809"," 59920","59920","0","834545","26364","56","760","257","7936","239","9","1435","46","26","27","0"
"3","307EApr1809","258687","258687","0","1972555","40959","176","1821","235","9535","492","81","5469","6","28","154","136"
"1","307EAug1808","026628","1026628","28747","12399961","28841","18852","9286","10792","364","123","1","9020","0","0","17","0"
"2","307EAug1808"," 44070","44070","0","451274","8719","356","458","257","2613","70","9","1435","46","26","27","57"
"3","307EAug1808","130585","130585","0","1361549","9840","126","125","235","5000","73","29","1687","56","28","25","139"
"1","307EDec1808","944154","944154","78607","8044420","67162","16037","6386","19528","5500","122","0","10299","274","1","42","132"
"2","307EDec1808"," 56675","56675","0","829296","16717","56","411","257","5413","155","9","1435","46","26","27","0"
"3","307EDec1808","169986","169986","0","1254692","19060","276","530","235","7995","270","30","3573","56","28","70","136"
"1","307EFeb1809","938754","938754","115239","12191081","47702","9683","4501","25581","3582","71","0","12497","79","474","42","89"
"2","307EFeb1809"," 60765","60765","0","475772","21240","56","533","257","6697","204","9","1435","46","26","27","0"
"3","307EFeb1809","225201","225201","0","993284","22846","276","1056","235","9491","364","56","4542","56","28","114","136"
"1","307EJan1808","937677","937677","34801","10087835","58167","6278","11664","1647","3958","48","11","6912","234","116","35","90"
"2","307EJan1808"," 41192","41192","0","1287577","9645","356","470","257","854","24","9","835","46","26","27","177"
"3","307EJan1808"," 80212","80212","0","1287544","12458","426","820","235","965","24","11","1687","56","28","25","139"
"1","307EJan1809","911799","911799","96063","20648024","62698","8481","5354","22275","7227","86","0","11565","287","419","42","110"
"2","307EJan1809"," 58817","58817","0","299321","18921","56","391","257","6011","180","9","1435","46","26","27","0"
"3","307EJan1809","192878","192878","0","1014650","25033","276","726","235","9020","302","39","4124","56","28","90","136"
"1","307EJul1808","012000","1012000","29507","14042846","39981","17169","8717","9665","2875","137","1","7983","4","1","17","0"
"2","307EJul1808"," 43671","43671","0","320261","6917","356","476","257","1862","47","9","1435","46","26","27","87"
"3","307EJul1808","115083","115083","0","1716300","6918","126","193","235","4224","36","21","1687","56","28","25","139"
"1","307EJul1809","080000","1080000","127467","11061498","67836","19175","6585","33510","13185","91","52","16462","1330","199","182","0"
"2","307EJul1809"," 68192","68192","0","477502","33783","56","1139","257","10350","299","9","1435","46","26","27","0"
"3","307EJul1809","388212","388212","0","7788982","41035","3757","1237","235","3731","461","47","6982","6","436","62","77"
"1","307EJun1808","989072","989072","34628","12419761","48801","14730","8167","8610","3321","159","1","6912","0","1","35","0"
"2","307EJun1808"," 41570","41570","0","795551","10141","356","483","257","1328","24","9","1435","46","26","27","117"
"3","307EJun1808","102957","102957","0","2607429","12649","126","283","235","4160","14","11","1687","56","28","25","139"
"1","307EMar1808","934084","934084","35573","11679221","91771","14675","9601","4843","1966","134","1","6912","68","1","35","30"
"2","307EMar1808"," 41900","41900","0","1034789","13293","356","378","257","854","24","9","1435","46","26","27","177"
"3","307EMar1808"," 84512","84512","0","595282","19177","426","597","235","4212","24","11","1687","56","28","25","139"
"1","307EMay1808","978965","978965","35112","8786765","62534","19692","8064","6728","3464","142","1","6912","0","1","35","0"
"2","307EMay1808"," 37299","37299","0","1083654","15600","356","296","257","1186","24","9","1435","46","26","27","147"
"3","307EMay1808"," 89047","89047","0","2740288","20300","126","367","235","4280","14","11","1687","56","28","25","139"
"1","307EMay1809","046443","1046443","131990","8930063","68467","17290","3830","31078","9784","18","0","14416","684","0","42","5"
"2","307EMay1809"," 60370","60370","0","179760","28907","56","987","257","8770","263","9","1435","46","26","27","0"
"3","307EMay1809","304930","304930","0","1396056","45454","857","1638","235","9958","525","14","6050","6","28","14","136"
"1","307ENov1808","962434","962434","59135","14272451","77670","27104","7393","18240","5520","193","24","12502","137","1","42","96"
"2","307ENov1808"," 52347","52347","0","872255","14802","356","430","257","4743","134","9","1435","46","26","27","0"
"3","307ENov1808","155045","155045","0","1131083","9223","126","340","235","6967","154","23","3236","56","28","47","136"
"1","307ENov1809","112000","1112000","131368","11126868","94611","22599","7921","41691","21503","124","3","21118","1318","1253","83","119"
"2","307ENov1809"," 86814","86814","0","500734","44259","215","1171","257","12862","288","27","1435","46","26","27","0"
"3","307ENov1809","534246","534246","0","1539766","34683","5592","775","2401","3749","665","43","3058","261","668","51","13"
"1","307EOct1808","026185","1026185","32630","10586889","43337","16262","8020","15203","2374","154","1","11303","119","0","17","67"
"2","307EOct1808"," 48991","48991","0","725282","12733","356","442","257","4053","114","9","1435","46","26","27","0"
"3","307EOct1808","134188","134188","0","1124949","8261","126","413","235","5976","112","17","2787","56","28","25","136"
"1","307EOct1809","112000","1112000","131688","10530214","81560","23020","8556","38744","19240","121","7","20023","1354","1052","111","77"
"2","307EOct1809"," 80133","80133","0","460335","40918","215","1151","257","12292","367","19","1435","46","26","27","0"
"3","307EOct1809","513207","513207","0","2426302","24667","2659","877","2699","2513","640","23","8128","313","644","22","13"
"1","307ESep1808","026951","1026951","29147","12764485","44293","21905","8617","13129","1598","151","1","10061","0","198","17","0"
"2","307ESep1808"," 47266","47266","0","583484","10619","356","452","257","3151","92","9","1435","46","26","27","27"
"3","307ESep1808","133348","133348","0","1503304","9387","126","134","235","5320","93","7","2212","56","28","13","139"
"1","307ESep1809","100000","1100000","130940","10066929","68799","28116","8266","36788","17504","162","23","18701","1389","893","142","54"
"2","307ESep1809"," 72593","72593","0","442556","37977","215","1148","257","11556","343","9","1435","46","26","27","0"
"3","307ESep1809","477180","477180","0","4322762","26894","3107","1002","1920","2526","578","96","7714","235","502","55","13"
"1","348BAug1809","409041","409041","190928","6864769","23885","10037","10717","17758","1435","0","0","11463","176","766","10","2"
"2","348BAug1809","     0","0","0","0","156","0","0","0","0","0","0","0","0","0","0","0"
"3","348BAug1809"," 25920","25920","0","80400","24910","0","192","4522","614","47","0","3145","49","23","0","36"
"1","348BSep1809","334583","334583","217571","6599428","41022","14186","10443","18866","1168","0","0","12272","57","1109","0","2"
"2","348BSep1809","     0","0","0","0","156","0","0","0","0","0","0","0","0","0","0","0"
"3","348BSep1809"," 27530","27530","0","158160","25928","0","197","4522","614","66","0","3145","49","23","0","36"
"1","348EAug1809","409041","409041","190928","6864769","23885","10037","10717","17758","1435","0","0","11463","176","766","10","2"
"2","348EAug1809","     0","0","0","0","156","0","0","0","0","0","0","0","0","0","0","0"
"3","348EAug1809"," 25920","25920","0","80400","24910","0","192","4522","614","47","0","3145","49","23","0","36"
"1","348ESep1809","334583","334583","217571","6599428","41022","14186","10443","18866","1168","0","0","12272","57","1109","0","2"
"2","348ESep1809","     0","0","0","0","156","0","0","0","0","0","0","0","0","0","0","0"
"3","348ESep1809"," 27530","27530","0","158160","25928","0","197","4522","614","66","0","3145","49","23","0","36"
"1","test","049797","1049797","0","6676583","47745","4038","11393","1039","2727","84","0","6945","161","0","11","35"
"2","test","186781","186781","0","3119717","25248","426","1626","679","689","34","4","1972","68","28","23","156"
"3","test"," 22000","22000","0","744439","5834","305","261","289","678","14","5","845","42","25","52","109"
