Confed 348B

Sim Battle

Commander in federation: 15

Fd|Bt Group| 			x\y | Start Attack| Order | Additional ORder | Formation | Dest 1 | Dest 2


1	| 	-  	| 	11/9	| 0	| 	33 	|	-	| 	2	| 11/9
57	| 	-  	| 	17/9	| 0	| 	13 	|	5	| 	2	| 17/9
58	| 	-  	| 	18/9	| 0	| 	13 	|	5	| 	2	| 18/9
59	| 	-  	| 	19/9	| 0	| 	13 	|	5	| 	2	| 19/9
60	| 	-  	| 	20/9	| 0	| 	13 	|	5	| 	2	| 20/9
61	| 	-  	| 	21/9	| 0	| 	13 	|	5	| 	2	| 21/9
62	| 	-  	| 	22/9	| 0	| 	13 	|	5	| 	2	| 22/9
63	| 	-  	| 	23/9	| 0	| 	13 	|	5	| 	2	| 23/9
64	| 	-  	| 	24/9	| 0	| 	13 	|	5	| 	2	| 24/9

65	| 	-  	| 	23/6	| 5	| 	36 	|	-	| 	2	| 23/6	| 24/6


66	| 	-  	| 	16/9	| 0	| 	31 	|	-	| 	1	| 16/9
67	| 	-  	| 	17/9	| 0	| 	31 	|	67	| 	1	| 17/9
68	| 	-  	| 	18/9	| 0	| 	31 	|	67	| 	1	| 18/9
69	| 	-  	| 	19/9	| 0	| 	31 	|	67	| 	1	| 19/9
70	| 	-  	| 	20/9	| 0	| 	31 	|	67	| 	1	| 20/9



71	| 	-  	| 	17/2	| 0	| 	33 	|	-	| 	1	| 17/2
72	| 	-  	| 	19/2	| 0	| 	33 	|	-	| 	1	| 19/2
73	| 	-  	| 	28/3	| 0	| 	33 	|	-	| 	1	| 28/3
74	| 	-  	| 	29/3	| 0	| 	33 	|	-	| 	1	| 29/3
75	| 	-  	| 	23/4	| 0	| 	33 	|	-	| 	1	| 23/4
